SigUF,NomRegiao,CodMunicipioIbge,NomMunicipio,DscClasseConsumo,DscFonteGeracao,DscPorte,MdaPotenciaInstaladaKW,DthAtualizaCadastralEmpreend
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,32.5,2016-08-31
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,2.0,2016-10-31
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,2.0,2016-08-25
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.0,2017-03-09
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.0,2017-07-29
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,8.2,2017-10-05
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,3.0,2017-11-22
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,10.4,2017-12-01
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.0,2018-01-03
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,6.5,2017-12-26
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,7.8,2017-12-28
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,51.48,2018-03-17
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,9.45,2018-03-21
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,7.26,2017-12-04
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,3.65,2018-02-19
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,10.08,2017-12-21
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,3.0,2018-02-19
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.15,2018-05-15
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,4.62,2018-07-05
AC,Norte,1200401,Rio Branco,Industrial,Radiação solar,Microgeracao,34.32,2018-06-07
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,17.82,2018-06-08
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,10.56,2018-07-30
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,3.3,2018-08-01
AC,Norte,1200450,Senador Guiomard,Residencial,Radiação solar,Microgeracao,2.6,2018-10-16
AC,Norte,1200104,Brasiléia,Comercial,Radiação solar,Microgeracao,33.0,2018-11-28
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,10.0,2018-11-07
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.2,2018-11-08
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,5.28,2018-12-10
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,10.56,2018-12-06
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,41.0,2017-09-13
AC,Norte,1200401,Rio Branco,Comercial,Radiação solar,Microgeracao,5.94,2018-12-05
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,10.56,2018-12-05
AC,Norte,1200401,Rio Branco,Residencial,Radiação solar,Microgeracao,13.65,2018-10-19
