SigUF,NomRegiao,CodMunicipioIbge,NomMunicipio,qtd_empreendimentos,potencia_total_kw,potencia_media_kw
DF,Centro Oeste,5300108,Brasília,35930,580826.38,16.17
MT,Centro Oeste,5103403,Cuiabá,44800,503795.26,11.25
MS,Centro Oeste,5002704,Campo Grande,49562,437156.34,8.82
RJ,Sudeste,3304557,Rio de Janeiro,40363,384693.39,9.53
GO,Centro Oeste,5208707,Goiânia,33464,368184.95,11.0
PI,Nordeste,2211001,Teresina,38256,367961.01,9.62
CE,Nordeste,2304400,Fortaleza,33845,331562.8,9.8
MA,Nordeste,2111300,São Luís,27013,288766.74,10.69
PA,Norte,1501402,Belém,29331,264360.95,9.01
SP,Sudeste,3550308,São Paulo,25575,257930.0,10.09
MA,Nordeste,2105302,Imperatriz,26155,247940.36,9.48
AM,Norte,1302603,Manaus,15552,246362.16,15.84
TO,Norte,1721000,Palmas,21897,205791.46,9.4
MG,Sudeste,3170206,Uberlândia,21426,201924.55,9.42
RO,Norte,1100205,Porto Velho,15578,201922.33,12.96
PE,Nordeste,2611101,Petrolina,27310,199620.05,7.31
MT,Centro Oeste,5107602,Rondonópolis,21629,198528.37,9.18
RN,Nordeste,2408102,Natal,21653,189466.59,8.75
PR,Sul,4108304,Foz do Iguaçu,22958,188815.11,8.22
AL,Nordeste,2704302,Maceió,19641,188810.4,9.61
MS,Centro Oeste,5003702,Dourados,20839,184400.81,8.85
MT,Centro Oeste,5108402,Várzea Grande,19736,179298.94,9.08
AP,Norte,1600303,Macapá,15223,176691.22,11.61
PR,Sul,4115200,Maringá,18113,176218.9,9.73
SP,Sudeste,3543402,Ribeirão Preto,20747,175651.29,8.47
BA,Nordeste,2927408,Salvador,17391,170438.05,9.8
RN,Nordeste,2408003,Mossoró,20590,158284.1,7.69
MG,Sudeste,3106200,Belo Horizonte,17152,157005.82,9.15
MT,Centro Oeste,5107909,Sinop,13215,155244.91,11.75
SP,Sudeste,3549805,São José do Rio Preto,21867,152467.57,6.97
PR,Sul,4106902,Curitiba,13919,148395.71,10.66
BA,Nordeste,2910800,Feira de Santana,18098,147079.39,8.13
SP,Sudeste,3509502,Campinas,18068,144125.02,7.98
PE,Nordeste,2611606,Recife,14638,141829.31,9.69
PA,Norte,1506807,Santarém,13845,141671.73,10.23
PR,Sul,4113700,Londrina,13431,139898.12,10.42
SP,Sudeste,3549904,São José dos Campos,11640,136840.87,11.76
MT,Centro Oeste,5107925,Sorriso,8044,133196.28,16.56
MG,Sudeste,3143302,Montes Claros,10058,131640.36,13.09
ES,Sudeste,3205002,Serra,12454,130489.59,10.48
PR,Sul,4104808,Cascavel,10107,128943.17,12.76
AC,Norte,1200401,Rio Branco,12753,128066.11,10.04
SP,Sudeste,3524402,Jacareí,4917,124230.37,25.27
RS,Sul,4305108,Caxias do Sul,12801,124220.13,9.7
SE,Nordeste,2800308,Aracaju,10905,124082.89,11.38
RS,Sul,4314902,Porto Alegre,13157,123084.94,9.36
RJ,Sudeste,3301009,Campos dos Goytacazes,15055,122559.52,8.14
GO,Centro Oeste,5201405,Aparecida de Goiânia,11023,120754.14,10.95
PR,Sul,4127700,Toledo,9635,118696.24,12.32
PB,Nordeste,2507507,João Pessoa,10463,118209.2,11.3
RR,Norte,1400100,Boa Vista,7773,108003.82,13.89
GO,Centro Oeste,5201108,Anápolis,9964,107894.26,10.83
SP,Sudeste,3541406,Presidente Prudente,15233,106474.21,6.99
MA,Nordeste,2112209,Timon,8601,105775.69,12.3
BA,Nordeste,2905701,Camaçari,12888,104751.76,8.13
BA,Nordeste,2918407,Juazeiro,13618,103089.24,7.57
GO,Centro Oeste,5218805,Rio Verde,7641,102242.91,13.38
PA,Norte,1504208,Marabá,9939,101477.7,10.21
MG,Sudeste,3170107,Uberaba,10600,101228.49,9.55
SP,Sudeste,3502804,Araçatuba,13749,100671.28,7.32
SC,Sul,4209102,Joinville,13703,100386.33,7.33
BA,Nordeste,2933307,Vitória da Conquista,10568,99341.67,9.4
BA,Nordeste,2903201,Barreiras,11112,97757.92,8.8
PA,Norte,1500800,Ananindeua,11390,97680.22,8.58
SC,Sul,4202404,Blumenau,12012,93361.67,7.77
MT,Centro Oeste,5107958,Tangará da Serra,7712,92724.82,12.02
ES,Sudeste,3203205,Linhares,5982,91984.33,15.38
RN,Nordeste,2403251,Parnamirim,12408,91949.8,7.41
MG,Sudeste,3127701,Governador Valadares,12021,91932.15,7.65
SP,Sudeste,3552205,Sorocaba,10671,91285.41,8.55
SP,Sudeste,3526902,Limeira,9558,90827.68,9.5
SP,Sudeste,3516200,Franca,8033,90678.54,11.29
SP,Sudeste,3538709,Piracicaba,9471,87369.06,9.22
RO,Norte,1100122,Ji-Paraná,7572,86797.23,11.46
PR,Sul,4128104,Umuarama,7027,86018.39,12.24
TO,Norte,1702109,Araguaína,9015,86014.9,9.54
ES,Sudeste,3204906,São Mateus,5525,85552.7,15.48
RJ,Sudeste,3303302,Niterói,11273,85492.3,7.58
PE,Nordeste,2604106,Caruaru,9666,85478.58,8.84
SP,Sudeste,3554102,Taubaté,6258,83721.36,13.38
