CodMunicipioIbge,populacao,ano
1100015,22724,2026
1100023,109731,2026
1100031,5640,2026
1100049,98884,2026
1100056,16957,2026
1100064,16432,2026
1100072,7938,2026
1100080,13499,2026
1100098,32960,2026
1100106,43633,2026
1100114,55774,2026
1100122,140800,2026
1100130,34229,2026
1100148,16251,2026
1100155,38686,2026
1100189,39377,2026
1100205,520379,2026
1100254,20372,2026
1100262,3781,2026
1100288,63336,2026
1100296,7798,2026
1100304,110708,2026
1100320,22343,2026
1100338,28894,2026
1100346,13611,2026
1100379,12213,2026
1100403,17471,2026
1100452,30573,2026
1100502,7894,2026
1100601,4242,2026
1100700,8972,2026
1100809,24454,2026
1100908,3445,2026
1100924,10250,2026
1100940,15872,2026
1101005,8264,2026
1101104,9247,2026
1101203,6389,2026
1101302,9579,2026
1101401,12100,2026
1101435,6506,2026
1101450,4356,2026
1101468,2308,2026
1101476,3259,2026
1101484,5571,2026
1101492,17601,2026
1101500,12973,2026
1101559,4507,2026
1101609,8383,2026
1101708,11254,2026
1101757,8178,2026
1101807,6740,2026
1200013,14762,2026
1200054,8716,2026
1200104,28198,2026
1200138,14076,2026
1200179,11035,2026
1200203,99404,2026
1200252,19997,2026
1200302,37874,2026
1200328,9972,2026
1200336,20616,2026
1200344,13057,2026
1200351,18154,2026
1200385,17088,2026
1200393,11386,2026
1200401,390058,2026
1200427,15580,2026
1200435,7285,2026
1200450,22447,2026
1200500,44170,2026
1200609,47090,2026
1200708,19244,2026
1200807,17585,2026
1300029,16938,2026
1300060,11633,2026
1300086,9981,2026
1300102,18135,2026
1300144,21971,2026
1300201,15920,2026
1300300,46641,2026
1300409,17805,2026
1300508,34025,2026
1300607,41261,2026
1300631,22842,2026
1300680,27052,2026
1300706,39176,2026
1300805,34836,2026
1300839,14980,2026
1300904,18327,2026
1301001,31383,2026
1301100,32289,2026
1301159,20081,2026
1301209,73403,2026
1301308,24627,2026
1301407,36027,2026
1301506,18062,2026
1301605,28491,2026
1301654,14356,2026
1301704,64390,2026
1301803,25792,2026
1301852,70248,2026
1301902,115218,2026
1301951,12150,2026
1302009,11090,2026
1302108,9527,2026
1302207,11106,2026
1302306,28712,2026
1302405,50040,2026
1302504,113042,2026
1302553,15902,2026
1302603,2327101,2026
1302702,58557,2026
1302801,15716,2026
1302900,67021,2026
1303007,21394,2026
1303106,27965,2026
1303205,16648,2026
1303304,25506,2026
1303403,101754,2026
1303502,20330,2026
1303536,33580,2026
1303569,25342,2026
1303601,13724,2026
1303700,30987,2026
1303809,58359,2026
1303908,35619,2026
1303957,12415,2026
1304005,12827,2026
1304062,74384,2026
1304104,20849,2026
1304203,81046,2026
1304237,20417,2026
1304260,15815,2026
1304302,19738,2026
1304401,26373,2026
1400027,16647,2026
1400050,24135,2026
1400100,500965,2026
1400159,15922,2026
1400175,21659,2026
1400209,23061,2026
1400233,12303,2026
1400282,11098,2026
1400308,20398,2026
1400407,16908,2026
1400456,24132,2026
1400472,38840,2026
1400506,10215,2026
1400605,7920,2026
1400704,16809,2026
1500107,173638,2026
1500131,6250,2026
1500206,63503,2026
1500305,40692,2026
1500347,17246,2026
1500404,76889,2026
1500503,36545,2026
1500602,140450,2026
1500701,30482,2026
1500800,510563,2026
1500859,36304,2026
1500909,48216,2026
1500958,24070,2026
1501006,19531,2026
1501105,35640,2026
1501204,57717,2026
1501253,4327,2026
1501303,140756,2026
1501402,1396157,2026
1501451,19191,2026
1501501,69703,2026
1501576,19294,2026
1501600,12925,2026
1501709,133268,2026
1501725,27635,2026
1501758,6947,2026
1501782,46792,2026
1501808,117028,2026
1501907,25019,2026
1501956,18881,2026
1502004,25683,2026
1502103,145843,2026
1502152,92311,2026
1502202,75791,2026
1502301,60663,2026
1502400,210592,2026
1502509,21514,2026
1502608,13720,2026
1502707,47187,2026
1502756,28253,2026
1502764,15354,2026
1502772,21088,2026
1502806,37164,2026
1502855,15069,2026
1502905,45330,2026
1502939,63306,2026
1502954,29154,2026
1503002,9208,2026
1503044,18625,2026
1503077,25565,2026
1503093,26361,2026
1503101,34344,2026
1503200,37992,2026
1503309,69918,2026
1503408,10813,2026
1503457,28403,2026
1503507,32780,2026
1503606,136990,2026
1503705,52213,2026
1503754,27130,2026
1503804,37086,2026
1503903,54546,2026
1504000,32387,2026
1504059,37881,2026
1504109,8450,2026
1504208,293344,2026
1504307,27054,2026
1504406,28210,2026
1504422,119859,2026
1504455,28718,2026
1504505,30305,2026
1504604,28982,2026
1504703,92688,2026
1504752,26305,2026
1504802,64350,2026
1504901,50314,2026
1504950,21346,2026
1504976,14383,2026
1505007,13147,2026
1505031,37570,2026
1505064,63836,2026
1505106,55774,2026
1505205,37078,2026
1505304,73301,2026
1505403,18886,2026
1505437,35585,2026
1505486,43882,2026
1505494,7041,2026
1505502,114128,2026
1505536,312427,2026
1505551,7410,2026
1505601,8720,2026
1505635,13390,2026
1505650,18258,2026
1505700,25707,2026
1505809,68236,2026
1505908,44552,2026
1506005,39132,2026
1506104,11424,2026
1506112,11807,2026
1506138,93414,2026
1506161,19250,2026
1506187,57452,2026
1506195,37042,2026
1506203,49140,2026
1506302,25925,2026
1506351,22764,2026
1506401,7599,2026
1506500,80039,2026
1506559,21370,2026
1506583,17051,2026
1506609,25930,2026
1506708,29273,2026
1506807,364298,2026
1506906,6362,2026
1507003,29330,2026
1507102,17267,2026
1507151,21475,2026
1507201,32655,2026
1507300,63393,2026
1507409,15439,2026
1507458,24882,2026
1507466,4432,2026
1507474,21505,2026
1507508,14338,2026
1507607,56135,2026
1507706,27853,2026
1507755,6261,2026
1507805,25517,2026
