CodMunicipioIbge,municipio,uf,NomRegiao,qtd_empreendimentos,potencia_total_kw,potencia_media_kw
5200050,Abadia de Goiás,GO,Centro Oeste,871,11782.95,13.53
3100104,Abadia dos Dourados,MG,Sudeste,250,2210.29,8.84
5200100,Abadiânia,GO,Centro Oeste,294,5866.26,19.95
3100203,Abaeté,MG,Sudeste,591,6473.49,10.95
1500107,Abaetetuba,PA,Norte,3397,36509.56,10.75
2300101,Abaiara,CE,Nordeste,94,3512.49,37.37
2900108,Abaíra,BA,Nordeste,155,1052.54,6.79
2900207,Abaré,BA,Nordeste,260,2214.47,8.52
4100103,Abatiá,PR,Sul,183,2848.03,15.56
4200051,Abdon Batista,SC,Sul,112,925.14,8.26
1500131,Abel Figueiredo,PA,Norte,122,1125.12,9.22
4200101,Abelardo Luz,SC,Sul,289,7604.6,26.31
3100302,Abre Campo,MG,Sudeste,437,5093.82,11.66
2600054,Abreu e Lima,PE,Nordeste,1179,9003.46,7.64
1700251,Abreulândia,TO,Norte,61,739.83,12.13
3100401,Acaiaca,MG,Sudeste,52,403.59,7.76
2100055,Açailândia,MA,Nordeste,4105,47336.98,11.53
2900306,Acajutiba,BA,Nordeste,170,1465.79,8.62
1500206,Acará,PA,Norte,180,2440.98,13.56
2300150,Acarape,CE,Nordeste,112,2063.42,18.42
2300200,Acaraú,CE,Nordeste,915,19065.58,20.84
2400109,Acari,RN,Nordeste,455,3489.53,7.67
2200053,Acauã,PI,Nordeste,164,1152.68,7.03
4300034,Aceguá,RS,Sul,131,1629.18,12.44
2300309,Acopiara,CE,Nordeste,879,8465.15,9.63
5100102,Acorizal,MT,Centro Oeste,400,4095.13,10.24
1200013,Acrelândia,AC,Norte,376,4228.63,11.25
5200134,Acreúna,GO,Centro Oeste,794,8568.78,10.79
3100500,Açucena,MG,Sudeste,85,758.89,8.93
3500105,Adamantina,SP,Sudeste,3423,28647.36,8.37
5200159,Adelândia,GO,Centro Oeste,66,916.3,13.88
3500204,Adolfo,SP,Sudeste,278,8264.37,29.73
4100202,Adrianópolis,PR,Sul,33,519.27,15.74
2900355,Adustina,BA,Nordeste,164,1210.99,7.38
2600104,Afogados da Ingazeira,PE,Nordeste,1755,13202.07,7.52
2400307,Afonso Bezerra,RN,Nordeste,239,1941.96,8.13
3200102,Afonso Cláudio,ES,Sudeste,1371,15691.75,11.45
2100105,Afonso Cunha,MA,Nordeste,23,861.98,37.48
2600203,Afrânio,PE,Nordeste,580,6076.66,10.48
1500305,Afuá,PA,Norte,51,799.77,15.68
2600302,Agrestina,PE,Nordeste,427,6296.68,14.75
2200103,Agricolândia,PI,Nordeste,80,772.51,9.66
