DscFonteGeracao,qtd_empreendimentos,potencia_total_kw
Radiação solar,4598986,50472985.14
Potencial hidráulico,89,78905.11
Biogás - RA,370,62566.23
Biogás - RU,100,52720.5
Biogás - Floresta,25,19642.82
Biogás-AGR,48,18480.34
Cinética do vento,91,17539.59
Bagaço de Cana de Açúcar,21,14673.119999999999
Gás de Alto Forno - Biomassa,7,12869.25
Casca de Arroz,6,11656.4
Resíduos Florestais,5,6060.0
Lenha,2,2776.0
Gás Natural,10,2502.0
Resíduos Sólidos Urbanos - RU,4,942.0
Óleo Diesel,1,165.0
Óleos vegetais,1,130.0
Etanol,1,74.25
